instruction	FunctionType	RS1	RS2	RD	RS1v	RS2v	RDv	Immediate
00000000000000000001010010110111	LUI--	XXXXX	XXXXX	01001	0	0	1	00000000000000000001000000000000
00000000000000000001010010010111	AUIPC	XXXXX	XXXXX	01001	0	0	1	00000000000000000001000000000000	
00000000000000000001010011101111	JAL--	XXXXX	XXXXX	01001	0	0	1	00000000000000000001000000000000
00000000000101101000010011100111	JALR-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000010101101101000000011100011	BEQ--	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000
00000010101101101001000011100011	BNE--	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000
00000010101101101100000011100011	BLT--	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000
00000010101101101101000011100011	BGE--	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000		
00000010101101101110000011100011	BLTU-	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000
00000010101101101111000011100011	BGEU-	01101	01011	XXXXX	1	1	0	00000000000000000000100000100000
00000000000101101000010010000011	LB---	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101001010010000011	LH---	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101010010010000011	LW---	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101100010010000011	LBU--	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101101010010000011	LHU--	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000100101101101000000010100011	SB---	01101	01011	XXXXX	1	1	0	00000000000000000000000001000001
00000100101101101001000010100011	SH---	01101	01011	XXXXX	1	1	0	00000000000000000000000001000001
00000100101101101010000010100011	SW---	01101	01011	XXXXX	1	1	0	00000000000000000000000001000001
00000000000101101000010010010011	ADDI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101010010010010011	SLTI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101011010010010011	SLTIU	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101100010010010011	XORI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101110010010010011	ORI--	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101111010010010011	ANDI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101001010010010011	SLLI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000000000101101101010010010011	SRLI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
01000000000101101101010010010011	SRAI-	01101	XXXXX	01001	1	0	1	00000000000000000000000000000001
00000001010110100000010010110011	ADDr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
01000001010110100000010010110011	SUBr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100001010010110011	SLLr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100010010010110011	SLTr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100011010010110011	SLTUr	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100100010010110011	XORr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100101010010110011	SRLr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
01000001010110100101010010110011	SRAr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100110010010110011	ORr--	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000001010110100111010010110011	ANDr-	10100	10101	01001	1	1	1	00000000000000000000000000000000
00000000000000000000000000010011	NOP--	00000	00000	00000	0	0	0	00000000000000000000000000000000
