Reset	Jmp	Delay	Address	Inst	Read
1	0 	0	00000000000000000000000000000000	00000000000000000000000000010011	0
0	0	0	00000000000000000000000000000100	00000000000000000000000100000000	1
1	0	1	00000000000000000000000000000000	00000000000000000000000000010011	0
0	0	0	00000000000000000000000000000100	00000000000000000000000100000000	1
0	1	0	00000000000000000000000000100000	00000000000000000000000000010011	0
0	0	0	00000000000000000000000000100100	00000000000000000000000100000000	1
0	1	1	00000000000000000000000000100000	00000000000000000000000000010011	0
0	0	1	00000000000000000000000000100000	00000000000000000000000000010011	1
1	0	0	00000000000000000000000000000000	00000000000000000000000000010011	0
0	0	0	00000000000000000000000000000100	00000000000000000000000100000000	1
0	0	1	00000000000000000000000000000100	00000000000000000000000000010011	1
0	0	0	00000000000000000000000000001000	00000000000000000000000100000000	1
