DataA	DataB	Address	instruction_fn7(31-25)	rs2(24-20)	rs1(19-15)	fn3(14-12)	rd(11-7)	op(6-2)	last_two_bit(1-0)	fn_code	rd	rs1	rs2	rdv	rs1v	rs2v	L	R	Extra
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	000	00111	01100	11	ADDr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0100000	00010	00001	000	00111	01100	11	SUBr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	001	00111	01100	11	SLLr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	010	00111	01100	11	SLTr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	011	00111	01100	11	SLTUr	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	100	00111	01100	11	XORr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	101	00111	01100	11	SRLr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0100000	00010	00001	101	00111	01100	11	SRAr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	110	00111	01100	11	ORr--	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	111	00111	01100	11	ANDr-	00111	00001	00010	1	1	1	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	111	00111	01101	11	LUI--	00111	XXXXX	XXXXX	1	0	0	00000000	00000000	0020f000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	111	00111	00101	11	AUIPC	00111	XXXXX	XXXXX	1	0	0	00000000	00000000	0020f004
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	111	00111	11011	11	JAL--	00111	XXXXX	XXXXX	1	0	0	0000f006	00000008	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	000	00111	11000	11	BEQ--	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	001	00111	11000	11	BNE--	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	100	00111	11000	11	BLT--	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	101	00111	11000	11	BGE--	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	110	00111	11000	11	BLTU-	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	111	00111	11000	11	BGEU-	XXXXX	00001	00010	0	1	1	00000001	00000002	0000080a
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000001	00010	00001	000	00111	01000	11	SB---	XXXXX	00001	00010	0	1	1	00000028	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000001	00010	00001	001	00111	01000	11	SH---	XXXXX	00001	00010	0	1	1	00000028	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000001	00010	00001	010	00111	01000	11	SW---	XXXXX	00001	00010	0	1	1	00000028	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	000	00111	11001	11	JALR-	00111	00001	XXXXX	1	1	0	fffff802	00000008	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	000	00111	00000	11	LB---	00111	00001	XXXXX	1	1	0	fffff803	00000000	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	001	00111	00000	11	LH---	00111	00001	XXXXX	1	1	0	fffff803	00000000	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	010	00111	00000	11	LW---	00111	00001	XXXXX	1	1	0	fffff803	00000000	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	100	00111	00000	11	LBU--	00111	00001	XXXXX	1	1	0	fffff803	00000000	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	101	00111	00000	11	LHU--	00111	00001	XXXXX	1	1	0	fffff803	00000000	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	000	00111	00100	11	ADDI-	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	010	00111	00100	11	SLTI-	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	011	00111	00100	11	SLTIU	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	100	00111	00100	11	XORI-	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	110	00111	00100	11	ORI--	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	1000000	00010	00001	111	00111	00100	11	ANDI-	00111	00001	XXXXX	1	1	0	00000001	00000802	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	001	00111	00100	11	SLLI-	00111	00001	XXXXX	1	1	0	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0000000	00010	00001	101	00111	00100	11	SRLI-	00111	00001	XXXXX	1	1	0	00000001	00000002	00000000
00000000000000000000000000000001	00000000000000000000000000000010	00000000000000000000000000000100	0100000	00010	00001	101	00111	00100	11	SRAI-	00111	00001	XXXXX	1	1	0	00000001	00000002	00000000
