L	R	Extra	Rd	FunC_in	Address	Data	Rd_out	FunC_out	Jaddr	Jump	overflow
80000001	00000002	00000000	00001	ADDr-	00000000	80000003	00001	ADDr-	00000000	0	0
00000002	00000001	00000000	00001	SUBr-	00000000	00000001	00001	SUBr-	00000000	0	0
80000001	00000002	00000000	00001	SLLr-	00000000	00000004	00001	SLLr-	00000000	0	0
80000001	00000002	00000000	00001	SLTr-	00000000	00000001	00001	SLTr-	00000000	0	0
80000001	00000002	00000000	00001	SLTUr	00000000	00000000	00001	SLTUr	00000000	0	0
80000001	00000002	00000000	00001	XORr-	00000000	80000003	00001	XORr-	00000000	0	0
80000001	00000002	00000000	00001	SRLr-	00000000	20000000	00001	SRLr-	00000000	0	0
80000001	00000002	00000000	00001	SRAr-	00000000	e0000000	00001	SRAr-	00000000	0	0
80000001	00000002	00000000	00001	ORr--	00000000	80000003	00001	ORr--	00000000	0	0
80000001	00000002	00000000	00001	ANDr-	00000000	00000000	00001	ANDr-	00000000	0	0
00000000	00000000	00000004	00001	LUI--	00000000	00000004	00001	LUI--	00000000	0	0
00000000	00000000	00000004	00001	AUIPC	00000000	00000004	00001	AUIPC	00000000	0	0
00000004	00000008	00000000	00001	JAL--	00000000	00000008	00001	JAL--	00000004	1	0
00000004	00000008	0000000c	00000	BEQ--	00000000	00000000	00000	BEQ--	00000000	0	0
00000004	00000008	0000000c	00000	BNE--	00000000	0000000c	00000	BNE--	00000000	1	0
00000004	00000008	0000000c	00000	BLT--	00000000	0000000c	00000	BLT--	00000000	1	0
00000004	00000008	0000000c	00000	BGE--	00000000	00000000	00000	BGE--	00000000	0	0
00000004	00000008	0000000c	00000	BLTU-	00000000	0000000c	00000	BLTU-	00000000	1	0
00000004	00000008	0000000c	00000	BGEU-	00000000	00000000	00000	BGEU-	00000000	0	0
00000004	00000008	00000000	00000	SB---	00000004	00000008	00000	SB---	00000000	0	0
00000004	00000008	00000000	00000	SH---	00000004	00000008	00000	SH---	00000000	0	0
00000004	00000008	00000000	00000	SW---	00000004	00000008	00000	SW---	00000000	0	0
00000004	00000008	00000000	00001	JALR-	00000000	00000008	00001	JALR-	00000004	1	0
00000004	00000000	00000000	00001	LB---	00000004	00000000	00001	LB---	00000000	0	0
00000004	00000000	00000000	00001	LH---	00000004	00000000	00001	LH---	00000000	0	0
00000004	00000000	00000000	00001	LW---	00000004	00000000	00001	LW---	00000000	0	0
00000004	00000000	00000000	00001	LBU--	00000004	00000000	00001	LBU--	00000000	0	0
00000004	00000000	00000000	00001	LHU--	00000004	00000000	00001	LHU--	00000000	0	0
80000001	00000002	00000000	00001	ADDI-	00000000	80000003	00001	ADDI-	00000000	0	0
80000001	00000002	00000000	00001	SLTI-	00000000	00000001	00001	SLTI-	00000000	0	0
80000001	00000002	00000000	00001	SLTIU	00000000	00000000	00001	SLTIU	00000000	0	0
80000001	00000002	00000000	00001	XORI-	00000000	80000003	00001	XORI-	00000000	0	0
80000001	00000002	00000000	00001	ORI--	00000000	80000003	00001	ORI--	00000000	0	0
80000001	00000002	00000000	00001	ANDI-	00000000	00000000	00001	ANDI-	00000000	0	0
80000001	00000002	00000000	00001	SLLI-	00000000	00000004	00001	SLLI-	00000000	0	0
80000001	00000002	00000000	00001	SRLI-	00000000	20000000	00001	SRLI-	00000000	0	0
80000001	00000002	00000000	00001	SRAI-	00000000	e0000000	00001	SRAI-	00000000	0	0
00000000	00000000	00000000	00000	NOP--	00000000	00000000	00000	NOP--	00000000	0	0
00000000	00000000	00000000	00000	BAD--	00000000	00000000	00000	BAD--	00000000	0	0
f0000000	80000000	00000000	00001	ADDr-	00000000	70000000	00001	ADDr-	00000000	0	1
7f000000	7f000000	00000000	00001	ADDr-	00000000	fe000000	00001	ADDr-	00000000	0	1
f0000000	80000000	00000000	00001	ADDI-	00000000	70000000	00001	ADDI-	00000000	0	1
7f000000	7f000000	00000000	00001	ADDI-	00000000	fe000000	00001	ADDI-	00000000	0	1
70000000	a0000000	00000000	00001	SUBr-	00000000	d0000000	00001	SUBr-	00000000	0	1
a0000000	70000000	00000000	00001	SUBr-	00000000	30000000	00001	SUBr-	00000000	0	1
