MStg_w_Mstg_r_fetch_r	mdelay	MemSyst_Din	MStg_Din	Mstg_Addr	Fetch_addr	delayF	delayM	MemSyst_Dout	MStg_Dout	Fetch_Dout	MemSyst_Addr
100	0	0000000f	0000008f	00000004	00000008	0	0	0000008f	00000000	00000000	00000000
101	0	0000000f	0000008f	00000004	00000008	0	0	0000008f	00000000	0000000f	00000008
010	0	0000000f	0000008f	00000004	00000008	0	0	00000000	0000000f	00000000	00000004
011	0	0000000f	0000008f	00000004	00000008	1	0	00000000	0000000f	00000000	00000004
000	0	0000000f	0000008f	00000004	00000008	0	0	00000000	00000000	00000000	00000000
001	0	0000000f	0000008f	00000004	00000008	0	0	00000000	00000000	0000000f	00000008
100	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
101	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
010	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
011	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
000	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
001	1	0000000f	0000008f	00000004	00000008	1	1	00000000	00000000	00000000	00000000
