Data	Din	Address	Rd_in	FunC_in	mDelay	r	w	stall	Dout	Data_out_wback	Address_out_arb	Rd_out	FunC_out
00100080	00000002	00000008	00001	SB---	0	0	1	1	ffffff80	00000000	00000000	00001	SB---
01008000	00000002	00000008	00001	SH---	0	0	1	1	ffff8000	00000000	00000000	00001	SH---
10008080	00000002	00000008	00001	SW---	0	0	1	1	10008080	00000000	00000000	00001	SW---
00000001	00100080	00000008	00001	LB---	0	1	0	1	00000000	ffffff80	00000008	00001	LB---
00000001	01008000	00000008	00001	LH---	0	1	0	1	00000000	ffff8000	00000008	00001	LH---
00000001	10008080	00000008	00001	LW---	0	1	0	1	00000000	10008080	00000008	00001	LW---
00000001	00100080	00000008	00001	LBU--	0	1	0	1	00000000	00000080	00000008	00001	LBU--
00000001	01008000	00000008	00001	LHU--	0	1	0	1	00000000	00008000	00000008	00001	LHU--
00000001	00000002	00000008	00001	ADDr-	0	0	0	0	00000000	00000001	00000000	00001	ADDr-
00000001	00000002	00000008	00001	SUBr-	0	0	0	0	00000000	00000001	00000000	00001	SUBr-
00000001	00000002	00000008	00001	SLLr-	0	0	0	0	00000000	00000001	00000000	00001	SLLr-
00000001	00000002	00000008	00001	SLTr-	0	0	0	0	00000000	00000001	00000000	00001	SLTr-
00000001	00000002	00000008	00001	SLTUr	0	0	0	0	00000000	00000001	00000000	00001	SLTUr
00000001	00000002	00000008	00001	XORr-	0	0	0	0	00000000	00000001	00000000	00001	XORr-
00000001	00000002	00000008	00001	SRLr-	0	0	0	0	00000000	00000001	00000000	00001	SRLr-
00000001	00000002	00000008	00001	SRAr-	0	0	0	0	00000000	00000001	00000000	00001	SRAr-
00000001	00000002	00000008	00001	ORr--	0	0	0	0	00000000	00000001	00000000	00001	ORr--
00000001	00000002	00000008	00001	ANDr-	0	0	0	0	00000000	00000001	00000000	00001	ANDr-
00000001	00000002	00000008	00001	LUI--	0	0	0	0	00000000	00000001	00000000	00001	LUI--
00000001	00000002	00000008	00001	AUIPC	0	0	0	0	00000000	00000001	00000000	00001	AUIPC
00000001	00000002	00000008	00001	JAL--	0	0	0	0	00000000	00000001	00000000	00001	JAL--
00000001	00000002	00000008	00001	JALR-	0	0	0	0	00000000	00000001	00000000	00001	JALR-
00000001	00000002	00000008	00001	ADDI-	0	0	0	0	00000000	00000001	00000000	00001	ADDI-
00000001	00000002	00000008	00001	SLTI-	0	0	0	0	00000000	00000001	00000000	00001	SLTI-
00000001	00000002	00000008	00001	SLTIU	0	0	0	0	00000000	00000001	00000000	00001	SLTIU
00000001	00000002	00000008	00001	XORI-	0	0	0	0	00000000	00000001	00000000	00001	XORI-
00000001	00000002	00000008	00001	ORI--	0	0	0	0	00000000	00000001	00000000	00001	ORI--
00000001	00000002	00000008	00001	ANDI-	0	0	0	0	00000000	00000001	00000000	00001	ANDI-
00000001	00000002	00000008	00001	SLLI-	0	0	0	0	00000000	00000001	00000000	00001	SLLI-
00000001	00000002	00000008	00001	SRLI-	0	0	0	0	00000000	00000001	00000000	00001	SRLI-
00000001	00000002	00000008	00001	SRAI-	0	0	0	0	00000000	00000001	00000000	00001	SRAI-
00000001	00000002	00000008	00001	BEQ--	0	0	0	0	00000000	00000001	00000000	00001	BEQ--
00000001	00000002	00000008	00001	BNE--	0	0	0	0	00000000	00000001	00000000	00001	BNE--
00000001	00000002	00000008	00001	BLT--	0	0	0	0	00000000	00000001	00000000	00001	BLT--
00000001	00000002	00000008	00001	BGE--	0	0	0	0	00000000	00000001	00000000	00001	BGE--
00000001	00000002	00000008	00001	BLTU-	0	0	0	0	00000000	00000001	00000000	00001	BLTU-
00000001	00000002	00000008	00001	BGEU-	0	0	0	0	00000000	00000001	00000000	00001	BGEU-
00000001	00000002	00000008	00000	BAD--	0	0	0	0	00000000	00000001	00000000	00000	BAD--
00000001	00000002	00000008	00000	NOP--	0	0	0	0	00000000	00000001	00000000	00000	NOP--
00000001	01008000	00000008	00001	LHU--	0	1	0	1	00000000	00008000	00000008	00001	LHU--
00000001	01008000	00000008	00001	LHU--	1	1	0	1	00000000	00008000	00000008	00000	NOP--
