Data	Rd_in	FunC	Rd_out	Data_out	w
00000000	00000	SB---	00000	00000000	0
00000000	00000	SH---	00000	00000000	0
00000000	00000	SW---	00000	00000000	0
00000000	00000	BAD--	00000	00000000	0
00000000	00000	BEQ--	00000	00000000	0
00000000	00000	BNE--	00000	00000000	0
00000000	00000	BLT--	00000	00000000	0
00000000	00000	BGE--	00000	00000000	0
00000000	00000	BLTU-	00000	00000000	0
00000000	00000	BGEU-	00000	00000000	0
00000000	00000	NOP--	00000	00000000	0
00000008	00001	ADDr-	00001	00000008	1
00000008	00001	SUBr-	00001	00000008	1
00000008	00001	SLLr-	00001	00000008	1
00000008	00001	SLTr-	00001	00000008	1
00000008	00001	SLTUr	00001	00000008	1
00000008	00001	XORr-	00001	00000008	1
00000008	00001	SRLr-	00001	00000008	1
00000008	00001	SRAr-	00001	00000008	1
00000008	00001	ORr--	00001	00000008	1
00000008	00001	ANDr-	00001	00000008	1
00000008	00001	LUI--	00001	00000008	1
00000008	00001	AUIPC	00001	00000008	1
00000008	00001	JAL--	00001	00000008	1
00000008	00001	JALR-	00001	00000008	1
00000008	00001	LB---	00001	00000008	1
00000008	00001	LH---	00001	00000008	1
00000008	00001	LW---	00001	00000008	1
00000008	00001	LBU--	00001	00000008	1
00000008	00001	LHU--	00001	00000008	1
00000008	00001	ADDI-	00001	00000008	1
00000008	00001	SLTI-	00001	00000008	1
00000008	00001	SLTIU	00001	00000008	1
00000008	00001	XORI-	00001	00000008	1
00000008	00001	ORI--	00001	00000008	1
00000008	00001	ANDI-	00001	00000008	1
00000008	00001	SLLI-	00001	00000008	1
00000008	00001	SRLI-	00001	00000008	1
00000008	00001	SRAI-	00001	00000008	1
