Reset	Jmp	Delay	Read	Inst	Addr
0	0	0	1	00000000000000000000000000000100	XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1	0	0	0	00000000000000000000000000010011	00000000000000000000000000000000
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000000100
1	0	1	0	00000000000000000000000000010011	00000000000000000000000000000000
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000000100
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000001000
0	1	1	0	00000000000000000000000000010011	00000000000000000000000000000100
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000001000
0	1	0	0	00000000000000000000000000010011	00000000000000000000000000000100
0	0	1	1	00000000000000000000000000010011	00000000000000000000000000000100
0	0	1	1	00000000000000000000000000010011	00000000000000000000000000000100
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000001000
0	1	0	0	00000000000000000000000000010011	00000000000000000000000000000100
0	0	0	1	00000000000000000000000000000100	00000000000000000000000000001000
0	1	0	0	00000000000000000000000000010011	00000000000000000000000000000100
